id,Umur,Kelas Pekerja,Berat Akhir,Pendidikan,Jmlh Tahun Pendidikan,Status Perkawinan,Pekerjaan,Jenis Kelamin,Keuntungan Kapital,Kerugian Capital,Jam per Minggu,Gaji
9695,40,Pekerja Bebas Bukan Perusahan,60949,D4,11,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
9696,28,Wiraswasta,54670,D3,12,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,40.0,<=7jt
9697,37,Wiraswasta,190297,Sarjana,13,Menikah,Tech-support,Laki2,0.0,0.0,45.0,>7jt
9698,57,Wiraswasta,249977,D4,11,Menikah,Spesialis,Laki2,0.0,0.0,40.0,<=7jt
9699,40,Wiraswasta,356934,D3,12,Cerai,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,>7jt
9700,39,Wiraswasta,47871,Sarjana,13,Cerai,Ekesekutif Managerial,Perempuan,0.0,0.0,50.0,>7jt
9701,48,Wiraswasta,117849,Pendidikan Tinggi,10,Menikah,Spesialis,Laki2,0.0,0.0,40.0,>7jt
9702,22,?,305423,Pendidikan Tinggi,10,Belum Pernah Menikah,?,Laki2,0.0,0.0,36.0,<=7jt
9703,22,Wiraswasta,202153,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
9704,31,Wiraswasta,257863,Pendidikan Tinggi,10,Cerai,Servis Lainnya,Perempuan,0.0,0.0,15.0,<=7jt
9705,35,Wiraswasta,89622,SMA,9,Menikah,Supir,Laki2,0.0,0.0,40.0,<=7jt
9706,43,Wiraswasta,111895,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,50.0,>7jt
9707,23,Wiraswasta,65225,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,15.0,<=7jt
9708,18,Pemerintah Lokal,36411,12th,8,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,30.0,<=7jt
9709,47,Wiraswasta,157901,11th,7,Menikah,Servis Lainnya,Laki2,0.0,0.0,36.0,<=7jt
9710,32,Wiraswasta,171215,Pendidikan Tinggi,10,Cerai,Pemuka Agama,Laki2,0.0,0.0,48.0,<=7jt
9711,29,Wiraswasta,632593,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
9712,51,Pekerja Bebas Bukan Perusahan,194259,Master,14,Menikah,Spesialis,Perempuan,210336000.0,0.0,55.0,>7jt
9713,33,Wiraswasta,220362,D4,11,Menikah,Supir,Laki2,0.0,0.0,84.0,>7jt
9714,19,Wiraswasta,29083,SMA,9,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,25.0,<=7jt
9715,26,Wiraswasta,82246,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,26264000.0,38.0,<=7jt
9716,42,Pemerintah Negara,191814,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
9717,47,Wiraswasta,219632,1st-4th,2,Janda,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
9718,31,Wiraswasta,185528,Pendidikan Tinggi,10,Cerai,Sales,Perempuan,0.0,0.0,35.0,<=7jt
9719,59,Wiraswasta,61885,12th,8,Cerai,Supir,Laki2,0.0,0.0,35.0,<=7jt
9720,46,Pemerintah Negara,170165,SMA,9,Berpisah,Pemuka Agama,Perempuan,0.0,0.0,37.0,<=7jt
9721,38,Pemerintah Lokal,223004,Pendidikan Tinggi,10,Cerai,Penjaga,Laki2,0.0,0.0,75.0,<=7jt
9722,32,Wiraswasta,316769,11th,7,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
9723,67,?,98882,Master,14,Janda,?,Perempuan,0.0,0.0,40.0,<=7jt
9724,61,Pemerintah Lokal,167670,Sarjana,13,Menikah LDR,Spesialis,Laki2,0.0,0.0,40.0,<=7jt
9725,47,Wiraswasta,97419,SMA,9,Menikah,Penjaga,Perempuan,0.0,0.0,40.0,<=7jt
9726,20,?,141453,Pendidikan Tinggi,10,Belum Pernah Menikah,?,Perempuan,0.0,0.0,10.0,<=7jt
9727,51,Wiraswasta,230095,10th,6,Janda,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
9728,44,Wiraswasta,101563,Master,14,Cerai,Ekesekutif Managerial,Laki2,104020000.0,0.0,45.0,>7jt
9729,21,Wiraswasta,186314,SMA,9,Menikah,Pemuka Agama,Laki2,0.0,0.0,40.0,<=7jt
9730,40,Wiraswasta,320451,Doktor,16,Menikah,Spesialis,Laki2,0.0,27678000.0,45.0,>7jt
9731,26,Wiraswasta,55929,Sarjana,13,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
9732,30,Wiraswasta,361742,Pendidikan Tinggi,10,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,50.0,<=7jt
9733,20,Wiraswasta,130959,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,20.0,<=7jt
9734,56,Wiraswasta,108276,Sarjana,13,Janda,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
9735,33,Wiraswasta,51471,SMA,9,Menikah,Tech-support,Perempuan,0.0,26628000.0,40.0,>7jt
9736,32,Wiraswasta,132767,Sarjana,13,Menikah,Sales,Laki2,0.0,0.0,50.0,>7jt
9737,56,Wiraswasta,435022,Pendidikan Tinggi,10,Cerai,Servis Lainnya,Perempuan,0.0,0.0,50.0,<=7jt
9738,34,Wiraswasta,275771,SMA,9,Cerai,Ekesekutif Managerial,Perempuan,0.0,0.0,50.0,<=7jt
9739,42,Pemerintah Lokal,238188,Master,14,Menikah,Spesialis,Laki2,0.0,0.0,35.0,>7jt
9740,50,Wiraswasta,144968,SMA,9,Belum Pernah Menikah,Tech-support,Laki2,0.0,0.0,15.0,<=7jt
9741,65,Wiraswasta,65757,SMA,9,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
9742,59,Wiraswasta,189721,Sarjana,13,Menikah,Pembersih,Laki2,0.0,0.0,40.0,>7jt
9743,43,Wiraswasta,435266,Doktor,16,Berpisah,Ekesekutif Managerial,Perempuan,197176000.0,0.0,60.0,>7jt
9744,38,Wiraswasta,383239,10th,6,Menikah,Perbaikan Kerajinan,Laki2,43442000.0,0.0,40.0,>7jt
9745,32,Wiraswasta,39223,10th,6,Berpisah,Perbaikan Kerajinan,Perempuan,0.0,0.0,40.0,<=7jt
9746,53,Pekerja Bebas Bukan Perusahan,33304,Sekolah Professional,15,Menikah,Spesialis,Laki2,0.0,0.0,38.0,>7jt
9747,22,?,216639,Pendidikan Tinggi,10,Belum Pernah Menikah,?,Perempuan,0.0,27636000.0,40.0,<=7jt
9748,39,Wiraswasta,160120,Pendidikan Tinggi,10,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
9749,49,Wiraswasta,104542,SMA,9,Cerai,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
9750,38,Wiraswasta,34173,Sarjana,13,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,45.0,<=7jt
9751,25,Pekerja Bebas Perusahaan,181691,SMA,9,Menikah,Sales,Laki2,0.0,0.0,60.0,<=7jt
9752,42,Wiraswasta,89226,SMA,9,Menikah,Servis Lainnya,Laki2,107632000.0,0.0,40.0,>7jt
9753,39,Pemerintah Negara,326566,Pendidikan Tinggi,10,Belum Pernah Menikah,Supir,Laki2,0.0,0.0,40.0,<=7jt
9754,20,Wiraswasta,162164,Pendidikan Tinggi,10,Belum Pernah Menikah,Asisten Rumah Tangga,Perempuan,0.0,0.0,45.0,<=7jt
9755,46,Pekerja Bebas Perusahaan,214627,Doktor,16,Menikah,Spesialis,Laki2,0.0,0.0,60.0,>7jt
9756,30,Pekerja Bebas Bukan Perusahan,189265,D3,12,Cerai,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
9757,39,Wiraswasta,216149,Sekolah Professional,15,Cerai,Spesialis,Laki2,0.0,0.0,70.0,>7jt
9758,21,Wiraswasta,26842,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,20.0,<=7jt
9759,23,Wiraswasta,148709,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,38.0,<=7jt
9760,34,Wiraswasta,145231,SMA,9,Menikah,Pemuka Agama,Perempuan,56896000.0,0.0,35.0,<=7jt
9761,53,Wiraswasta,139157,5th-6th,3,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
9762,32,Wiraswasta,53206,Sarjana,13,Cerai,Perbaikan Kerajinan,Laki2,0.0,0.0,50.0,>7jt
9763,56,Pekerja Bebas Bukan Perusahan,67841,SMA,9,Menikah,Sales,Laki2,0.0,0.0,40.0,<=7jt
9764,35,Wiraswasta,171327,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
9765,31,Pemerintah Negara,124020,D3,12,Menikah,Tech-support,Laki2,0.0,0.0,40.0,>7jt
9766,54,Pekerja Bebas Bukan Perusahan,308087,Master,14,Cerai,Spesialis,Laki2,0.0,0.0,30.0,<=7jt
9767,41,Pemerintah Negara,288433,Master,14,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
9768,51,Wiraswasta,183611,D3,12,Cerai,Ekesekutif Managerial,Laki2,0.0,0.0,55.0,<=7jt
9769,45,Pekerja Bebas Bukan Perusahan,184285,Sarjana,13,Cerai,Spesialis,Laki2,0.0,0.0,45.0,<=7jt
9770,45,Wiraswasta,54038,Pendidikan Tinggi,10,Menikah,Pemuka Agama,Perempuan,0.0,26628000.0,20.0,>7jt
9771,32,Pemerintah Negara,206051,Pendidikan Tinggi,10,Menikah LDR,Petani,Laki2,0.0,0.0,50.0,<=7jt
9772,28,Wiraswasta,96020,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,<=7jt
9773,45,Pemerintah Provinsi,235891,D3,12,Belum Pernah Menikah,Pemuka Agama,Laki2,0.0,0.0,40.0,<=7jt
9774,23,Pemerintah Negara,35805,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,60.0,<=7jt
9775,46,Wiraswasta,272792,Sarjana,13,Cerai,Perbaikan Kerajinan,Perempuan,0.0,0.0,40.0,<=7jt
9776,56,Pekerja Bebas Bukan Perusahan,42166,Sarjana,13,Menikah,Servis Lainnya,Laki2,0.0,0.0,40.0,<=7jt
9777,22,?,291407,12th,8,Belum Pernah Menikah,?,Laki2,0.0,0.0,40.0,<=7jt
9778,38,?,217409,Pendidikan Tinggi,10,Menikah,?,Perempuan,0.0,0.0,40.0,<=7jt
9779,60,Pekerja Bebas Perusahaan,180512,9th,5,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,45.0,>7jt
9780,39,Wiraswasta,135162,12th,8,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,45.0,<=7jt
9781,33,Wiraswasta,51185,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
9782,50,Wiraswasta,249096,Pendidikan Tinggi,10,Menikah,Supir,Laki2,0.0,0.0,60.0,>7jt
9783,74,Wiraswasta,192290,10th,6,Menikah,Pemuka Agama,Laki2,0.0,0.0,20.0,<=7jt
9784,45,Wiraswasta,246891,D4,11,Menikah,Spesialis,Laki2,0.0,26628000.0,40.0,>7jt
9785,56,Pekerja Bebas Bukan Perusahan,51662,11th,7,Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
9786,36,Wiraswasta,129263,SMA,9,Janda,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
9787,25,Wiraswasta,109097,11th,7,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
9788,30,Wiraswasta,194141,Pendidikan Tinggi,10,Cerai,Mesin Inspeksi,Laki2,0.0,22638000.0,40.0,<=7jt
9789,36,Wiraswasta,123983,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,55.0,>7jt
9790,53,Pekerja Bebas Bukan Perusahan,46704,Master,14,Menikah,Spesialis,Laki2,0.0,0.0,50.0,>7jt
9791,41,Wiraswasta,157025,SMA,9,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
9792,58,Pekerja Bebas Perusahaan,329793,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,45.0,>7jt
9793,24,Wiraswasta,224954,Pendidikan Tinggi,10,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,40.0,<=7jt
9794,44,Wiraswasta,209174,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,70.0,>7jt
9795,36,?,194809,Sarjana,13,Belum Pernah Menikah,?,Perempuan,0.0,0.0,50.0,<=7jt
9796,45,?,236612,11th,7,Cerai,?,Laki2,0.0,0.0,40.0,<=7jt
9797,47,Wiraswasta,284907,SMA,9,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,<=7jt
9798,24,Pemerintah Lokal,176178,D3,12,Belum Pernah Menikah,Spesialis,Perempuan,0.0,0.0,2.0,<=7jt
9799,24,Wiraswasta,180931,Sarjana,13,Menikah,Sales,Laki2,0.0,0.0,30.0,<=7jt
9800,19,Wiraswasta,113546,11th,7,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,56.0,<=7jt
9801,25,Wiraswasta,71351,1st-4th,2,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,25.0,<=7jt
9802,20,Wiraswasta,168165,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,30.0,<=7jt
9803,49,Pekerja Bebas Perusahaan,191277,Pendidikan Tinggi,10,Menikah,Ekesekutif Managerial,Laki2,210336000.0,0.0,50.0,>7jt
9804,36,Pekerja Bebas Bukan Perusahan,233533,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,60.0,>7jt
9805,18,Wiraswasta,577521,11th,7,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,13.0,<=7jt
9806,22,Wiraswasta,105686,SMA,9,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,40.0,<=7jt
9807,50,Pemerintah Lokal,97449,Pendidikan Tinggi,10,Menikah,Penjaga,Laki2,0.0,0.0,48.0,<=7jt
9808,47,Wiraswasta,201595,SMA,9,Belum Pernah Menikah,Pemuka Agama,Laki2,0.0,0.0,40.0,<=7jt
9809,23,Wiraswasta,308205,D3,12,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,20.0,<=7jt
9810,28,Wiraswasta,166320,SMA,9,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,40.0,<=7jt
9811,25,Wiraswasta,199224,Pendidikan Tinggi,10,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,30.0,<=7jt
9812,41,Wiraswasta,200479,SMA,9,Menikah,Supir,Laki2,0.0,0.0,40.0,<=7jt
9813,60,Wiraswasta,121319,7th-8th,4,Menikah,Mesin Inspeksi,Laki2,43918000.0,0.0,40.0,<=7jt
9814,31,Wiraswasta,240283,Sarjana,13,Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,>7jt
9815,46,Wiraswasta,153536,12th,8,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
9816,36,Wiraswasta,83089,5th-6th,3,Menikah,Mesin Inspeksi,Laki2,102172000.0,0.0,40.0,>7jt
9817,47,Wiraswasta,32509,Pendidikan Tinggi,10,Cerai,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
9818,23,?,111340,SMA,9,Menikah,?,Laki2,0.0,22022000.0,40.0,<=7jt
9819,45,Wiraswasta,186473,SMA,9,Cerai,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
9820,66,Pemerintah Lokal,188220,SMA,9,Janda,Pemuka Agama,Perempuan,0.0,0.0,35.0,>7jt
9821,34,Pemerintah Lokal,31391,SMA,9,Menikah,Penjaga,Laki2,0.0,0.0,53.0,>7jt
9822,24,Wiraswasta,374253,SMA,9,Berpisah,Servis Lainnya,Perempuan,0.0,0.0,55.0,<=7jt
9823,23,Wiraswasta,48343,SMA,9,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,27.0,<=7jt
9824,44,Wiraswasta,291568,SMA,9,Menikah,Petani,Laki2,0.0,0.0,40.0,<=7jt
9825,55,Wiraswasta,148590,10th,6,Janda,Perbaikan Kerajinan,Perempuan,0.0,0.0,40.0,<=7jt
9826,28,Wiraswasta,294936,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,45.0,<=7jt
9827,38,Pekerja Bebas Bukan Perusahan,177907,SMA,9,Menikah,Sales,Laki2,0.0,0.0,40.0,<=7jt
9828,49,Pekerja Bebas Perusahaan,218835,Sekolah Professional,15,Menikah,Spesialis,Laki2,0.0,0.0,60.0,>7jt
9829,47,Pemerintah Lokal,127678,Pendidikan Tinggi,10,Menikah,Penjaga,Laki2,0.0,0.0,48.0,>7jt
9830,64,Wiraswasta,286732,SMA,9,Janda,Sales,Perempuan,0.0,0.0,17.0,<=7jt
9831,48,?,222478,SMA,9,Menikah,?,Laki2,0.0,0.0,20.0,<=7jt
9832,52,Wiraswasta,210736,Pendidikan Tinggi,10,Menikah,Ekesekutif Managerial,Laki2,43442000.0,0.0,55.0,>7jt
9833,40,Wiraswasta,266803,D3,12,Cerai,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,>7jt
9834,38,Wiraswasta,52963,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,50.0,<=7jt
9835,61,Pekerja Bebas Bukan Perusahan,390472,SMA,9,Menikah,Petani,Laki2,0.0,0.0,40.0,<=7jt
9836,29,Wiraswasta,78261,Sekolah Professional,15,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,50.0,<=7jt
9837,58,Wiraswasta,81038,Pendidikan Tinggi,10,Menikah,Sales,Laki2,0.0,0.0,12.0,<=7jt
9838,38,Wiraswasta,201454,Pendidikan Tinggi,10,Cerai,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
9839,47,Wiraswasta,297884,10th,6,Janda,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
9840,47,Wiraswasta,84726,Pendidikan Tinggi,10,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
9841,36,Wiraswasta,183892,SMA,9,Cerai,Supir,Laki2,120596000.0,0.0,45.0,>7jt
9842,19,Wiraswasta,172893,Pendidikan Tinggi,10,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,30.0,<=7jt
9843,25,Wiraswasta,173593,Pendidikan Tinggi,10,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,75.0,<=7jt
9844,66,?,99888,D4,11,Janda,?,Perempuan,0.0,0.0,40.0,<=7jt
9845,31,Wiraswasta,213002,12th,8,Belum Pernah Menikah,Sales,Laki2,65100000.0,0.0,50.0,<=7jt
9846,34,Wiraswasta,69251,SMA,9,Menikah,Supir,Laki2,0.0,0.0,40.0,>7jt
9847,31,Pemerintah Negara,255830,D3,12,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,45.0,<=7jt
9848,26,Wiraswasta,360252,D3,12,Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
9849,36,Wiraswasta,112497,9th,5,Menikah,Sales,Laki2,0.0,0.0,50.0,>7jt
9850,43,Wiraswasta,195258,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,>7jt
9851,32,Wiraswasta,419691,12th,8,Menikah,Sales,Laki2,0.0,0.0,40.0,>7jt
9852,38,Wiraswasta,227615,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,>7jt
9853,34,?,353881,D4,11,Menikah,?,Laki2,43442000.0,0.0,60.0,>7jt
9854,80,Pekerja Bebas Bukan Perusahan,34340,7th-8th,4,Janda,Petani,Laki2,0.0,0.0,35.0,<=7jt
9855,23,Wiraswasta,158996,Pendidikan Tinggi,10,Menikah,Pembersih,Laki2,0.0,0.0,38.0,<=7jt
9856,18,Pekerja Bebas Bukan Perusahan,60981,11th,7,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,4.0,<=7jt
9857,28,Wiraswasta,175431,9th,5,Cerai,Spesialis,Perempuan,0.0,0.0,40.0,<=7jt
9858,44,Wiraswasta,187629,D3,12,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,25.0,<=7jt
9859,46,Wiraswasta,117849,Master,14,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,55.0,>7jt
9860,61,Wiraswasta,230568,Sarjana,13,Cerai,Pemuka Agama,Laki2,0.0,0.0,40.0,>7jt
9861,51,Wiraswasta,146767,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,40.0,>7jt
9862,24,Wiraswasta,227594,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,20.0,<=7jt
9863,34,Wiraswasta,118551,Sarjana,13,Belum Pernah Menikah,Tech-support,Perempuan,0.0,0.0,40.0,<=7jt
9864,32,Pemerintah Lokal,244268,Sarjana,13,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,50.0,<=7jt
9865,59,Pekerja Bebas Bukan Perusahan,119344,10th,6,Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,36.0,<=7jt
9866,29,Wiraswasta,355569,D4,11,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,50.0,<=7jt
9867,17,Wiraswasta,176467,9th,5,Belum Pernah Menikah,Supir,Laki2,0.0,0.0,20.0,<=7jt
9868,57,Wiraswasta,34366,Pendidikan Tinggi,10,Menikah,Supir,Laki2,0.0,0.0,50.0,<=7jt
9869,22,Wiraswasta,221533,SMA,9,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,20.0,<=7jt
9870,37,Wiraswasta,220644,SMA,9,Cerai,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
9871,40,Wiraswasta,132633,Pendidikan Tinggi,10,Cerai,Sales,Perempuan,0.0,24374000.0,40.0,<=7jt
9872,40,Wiraswasta,143327,Pendidikan Tinggi,10,Berpisah,Pembersih,Laki2,0.0,0.0,40.0,<=7jt
9873,34,Wiraswasta,289228,Master,14,Menikah,Ekesekutif Managerial,Perempuan,210336000.0,0.0,45.0,>7jt
9874,53,Wiraswasta,119170,SMA,9,Menikah,Supir,Laki2,0.0,24360000.0,40.0,<=7jt
9875,22,Pemerintah Negara,186634,12th,8,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,50.0,>7jt
9876,24,Wiraswasta,154571,D4,11,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,50.0,<=7jt
9877,46,?,206357,5th-6th,3,Menikah,?,Perempuan,0.0,0.0,40.0,<=7jt
9878,35,Wiraswasta,226311,Sarjana,13,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,40.0,<=7jt
9879,31,Wiraswasta,156493,Pendidikan Tinggi,10,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,>7jt
9880,62,Wiraswasta,266624,SMA,9,Menikah,Petani,Laki2,89852000.0,0.0,40.0,>7jt
9881,49,?,261059,10th,6,Berpisah,?,Laki2,30464000.0,0.0,40.0,<=7jt
9882,45,Pekerja Bebas Bukan Perusahan,271828,Sarjana,13,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,20.0,<=7jt
9883,34,Wiraswasta,232855,Pendidikan Tinggi,10,Berpisah,Servis Lainnya,Perempuan,0.0,0.0,37.0,<=7jt
9884,51,Pemerintah Lokal,110327,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,>7jt
9885,17,?,151141,10th,6,Belum Pernah Menikah,?,Laki2,0.0,0.0,30.0,<=7jt
9886,70,Pekerja Bebas Perusahaan,272896,Doktor,16,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,>7jt
9887,25,Pemerintah Provinsi,27142,Pendidikan Tinggi,10,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,>7jt
9888,57,Pemerintah Negara,39380,SMA,9,Berpisah,Servis Lainnya,Perempuan,0.0,0.0,35.0,<=7jt
9889,33,Wiraswasta,249438,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
9890,51,Wiraswasta,152652,11th,7,Cerai,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
9891,64,?,64101,12th,8,Menikah,?,Laki2,0.0,0.0,24.0,<=7jt
9892,36,Pekerja Bebas Bukan Perusahan,269509,SMA,9,Cerai,Sales,Laki2,0.0,0.0,35.0,<=7jt
9893,55,?,227203,D3,12,Menikah LDR,?,Perempuan,0.0,0.0,5.0,<=7jt
9894,23,Wiraswasta,169104,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,25.0,<=7jt
9895,49,Pekerja Bebas Perusahaan,187563,Pendidikan Tinggi,10,Menikah,Supir,Laki2,0.0,0.0,50.0,>7jt
9896,41,Wiraswasta,247082,SMA,9,Cerai,Ekesekutif Managerial,Laki2,0.0,0.0,50.0,<=7jt
9897,61,?,158712,SMA,9,Cerai,?,Perempuan,0.0,0.0,99.0,<=7jt
9898,30,Wiraswasta,170154,Sarjana,13,Belum Pernah Menikah,Tech-support,Perempuan,0.0,0.0,40.0,>7jt
9899,39,Pekerja Bebas Bukan Perusahan,306678,SMA,9,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,>7jt
9900,46,Wiraswasta,216934,Sarjana,13,Cerai,Pemuka Agama,Laki2,0.0,0.0,40.0,<=7jt
9901,27,Wiraswasta,43652,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
9902,45,Pemerintah Lokal,127678,D4,11,Menikah,Penjaga,Laki2,0.0,0.0,60.0,>7jt
9903,36,Pemerintah Provinsi,112847,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,40.0,<=7jt
9904,21,?,33087,Pendidikan Tinggi,10,Belum Pernah Menikah,?,Laki2,0.0,0.0,50.0,<=7jt
9905,32,Wiraswasta,473133,Master,14,Menikah,Spesialis,Laki2,0.0,0.0,40.0,>7jt
9906,41,Pekerja Bebas Bukan Perusahan,189941,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,<=7jt
9907,58,Wiraswasta,235624,D4,11,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,>7jt
9908,29,Pemerintah Provinsi,208534,Sekolah Professional,15,Menikah,Spesialis,Laki2,0.0,0.0,80.0,<=7jt
9909,41,Wiraswasta,143046,Master,14,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
9910,21,?,278130,Pendidikan Tinggi,10,Belum Pernah Menikah,?,Laki2,0.0,0.0,40.0,<=7jt
9911,67,?,37092,7th-8th,4,Menikah,?,Laki2,0.0,0.0,4.0,<=7jt
9912,19,Wiraswasta,198668,SMA,9,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,40.0,<=7jt
9913,30,Wiraswasta,151989,D4,11,Menikah,Tech-support,Perempuan,0.0,0.0,40.0,<=7jt
